id,phase,expected_tool
1,inspecting,inspect_openapi
2,generating,generate_test_cases
3,executing,execute_tests
4,searching_bugs,search_bug_knowledge
5,reporting,save_report
6,completed,finish
7,inspecting,inspect_openapi
8,generating,generate_test_cases
9,executing,execute_tests
10,searching_bugs,search_bug_knowledge
11,reporting,save_report
12,completed,finish
13,inspecting,inspect_openapi
14,generating,generate_test_cases
15,executing,execute_tests
16,searching_bugs,search_bug_knowledge
17,reporting,save_report
18,completed,finish
19,executing,execute_tests
20,reporting,save_report

