id,user_goal,phase,expected_tool,expected_outcome,notes
1,读取接口契约,inspecting,inspect_openapi,tool,正常规划
2,生成测试用例,generating,generate_test_cases,tool,正常规划
3,执行测试用例,executing,execute_tests,tool,正常规划
4,分析失败原因,searching_bugs,search_bug_knowledge,tool,正常规划
5,生成测试报告,reporting,save_report,tool,正常规划
6,结束已完成任务,completed,finish,tool,正常结束
7,等待人工批准写操作,waiting_approval,,blocked,不得继续自动规划
8,结束失败任务,failed,finish,tool,失败后结束
9,分析商品接口,inspecting,inspect_openapi,tool,正常规划
10,生成商品接口测试,generating,generate_test_cases,tool,正常规划
11,执行商品接口测试,executing,execute_tests,tool,正常规划
12,搜索商品接口故障,searching_bugs,search_bug_knowledge,tool,正常规划
13,保存商品测试报告,reporting,save_report,tool,正常规划
14,结束商品测试,completed,finish,tool,正常结束
15,订单写操作等待审批,waiting_approval,,blocked,不得绕过人工审批
16,失败任务停止执行,failed,finish,tool,失败后结束
17,分析订单接口,inspecting,inspect_openapi,tool,正常规划
18,生成订单测试用例,generating,generate_test_cases,tool,正常规划
19,执行订单测试,executing,execute_tests,tool,正常规划
20,检索订单失败原因,searching_bugs,search_bug_knowledge,tool,正常规划
21,保存订单测试报告,reporting,save_report,tool,正常规划
22,结束订单测试,completed,finish,tool,正常结束
23,危险操作等待人工确认,waiting_approval,,blocked,安全边界
24,异常任务结束,failed,finish,tool,终止条件
25,重新读取OpenAPI,inspecting,inspect_openapi,tool,正常规划
26,重新生成测试用例,generating,generate_test_cases,tool,正常规划
27,重新执行测试,executing,execute_tests,tool,正常规划
28,重新检索Bug,searching_bugs,search_bug_knowledge,tool,正常规划
29,重新生成报告,reporting,save_report,tool,正常规划
30,完成全部任务,completed,finish,tool,正常结束
